rank,app_id,app_name,artist_name,url,artwork,date,country,feed,genre_id,genre_name
37,6767091927,Jigsaw Drop: Solitaire Puzzle,Runyou Game,https://apps.apple.com/us/app/jigsaw-drop-solitaire-puzzle/id6767091927?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/fe/be/7e/febe7e6a-641c-0304-c363-140ee89d3450/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
38,6769314786,Food Hunt: Pixel Puzzle,FUNFINITY PTE. LTD,https://apps.apple.com/us/app/food-hunt-pixel-puzzle/id6769314786?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/07/fc/04/07fc0446-3dd4-3de9-cd3f-63b120f4f9de/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
39,6747875092,Yarn Fever! Unravel Puzzle,Brave HK Limited,https://apps.apple.com/us/app/yarn-fever-unravel-puzzle/id6747875092?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/d2/26/ce/d226ce9a-5247-ea1c-46f7-18647ad76f6f/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
40,1521236603,Travel Town - Merge Adventure,Moon Active,https://apps.apple.com/us/app/travel-town-merge-adventure/id1521236603?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/47/97/29/479729c4-a2ef-3587-4346-a53c4e4fd4fb/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
41,6759077038,Profile Perfect,Lion Studios Plus,https://apps.apple.com/us/app/profile-perfect/id6759077038?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/9d/7a/c9/9d7ac98c-2b27-aa66-3621-6bc76e1574fe/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
42,6756482832,Brain Puzzle 3: Crazy Mind,SmallStep Dev Team,https://apps.apple.com/us/app/brain-puzzle-3-crazy-mind/id6756482832?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/19/ed/f5/19edf5ae-ab7a-1274-cce7-cf6dd9e42804/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
43,1407852246,Happy Color by Numbers Game,X-Flow,https://apps.apple.com/us/app/happy-color-by-numbers-game/id1407852246?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/b7/09/ce/b709ce88-7824-2d87-4a9e-586a130010bc/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
44,307569751,NYT Games: Wordle & Crossword,The New York Times Company,https://apps.apple.com/us/app/nyt-games-wordle-crossword/id307569751?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/6f/c6/d8/6fc6d80b-80f1-e130-f877-ddf0de04652a/Release-0-0-1x_U007epad-0-1-0-sRGB-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
45,6474133872,Find Hidden Objects - Spot It!,Yolo Game Studios,https://apps.apple.com/us/app/find-hidden-objects-spot-it/id6474133872?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/a4/45/f8/a445f876-6951-e7cf-c1f9-ada9134fcf3e/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
46,6756185760,Search It - Hidden Objects,LEAP BILISIM TEKNOLOJILERI VE YAZILIM TICARET ANONIM SIRKETI,https://apps.apple.com/us/app/search-it-hidden-objects/id6756185760?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/ca/ed/fb/caedfbcf-8572-16cd-2009-6828ace25270/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
47,1486214495,Brain Test: Tricky Puzzles,UNICO STUDIO,https://apps.apple.com/us/app/brain-test-tricky-puzzles/id1486214495?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/38/8a/00/388a009e-f5e9-88d7-164a-add9afa32ac6/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
48,6760325543,CubeAway - 3DPuzzle,"GOODROID,Inc.",https://apps.apple.com/us/app/cubeaway-3dpuzzle/id6760325543?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/d8/0d/c3/d80dc318-f902-5487-8e6d-46934e1febf2/AppIcon-1x_U007emarketing-0-8-0-85-220-0.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
49,6471265311,Water Sorter,Gimica GmbH,https://apps.apple.com/us/app/water-sorter/id6471265311?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/61/97/3a/61973a53-26f4-d66e-be17-d402935df568/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
50,6499306754,Code Busters: Word Puzzle Game,Smartronic,https://apps.apple.com/us/app/code-busters-word-puzzle-game/id6499306754?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/8c/18/0f/8c180f7d-9367-14c2-dfb5-6b3c7fd4d474/AppIcon-0-0-1x_U007emarketing-0-11-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,7012,解谜
1,6761760135,Meowdoku!,Oakever Games,https://apps.apple.com/us/app/meowdoku/id6761760135?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/fc/fe/6d/fcfe6dcf-aa1d-ef3f-e01d-e5eac2d16178/AppIcon-0-0-1x_U007ephone-0-11-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
2,6752672568,Block Out! - Color Sort Puzzle,Grand Games A.Ş.,https://apps.apple.com/us/app/block-out-color-sort-puzzle/id6752672568?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/42/22/df/4222df44-fbaa-9fe1-f732-d1aec055395c/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
3,6748084174,Smash Fest!,Flow Games Bilisim Yazilim ve Pazarlama Anonim Sirketi,https://apps.apple.com/us/app/smash-fest/id6748084174?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/2b/08/a3/2b08a3fc-17de-ea89-b12c-da20274add92/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
4,6499209744,Magic Sort!,Grand Games A.Ş.,https://apps.apple.com/us/app/magic-sort/id6499209744?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/61/df/dc/61dfdca9-6c81-db86-1756-5b63b642a0a8/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
5,6468921495,Vita Mahjong,Vita Studio,https://apps.apple.com/us/app/vita-mahjong/id6468921495?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/98/e1/a7/98e1a71c-41b2-d28b-7b68-f385772c57e4/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
6,1550945606,Soccer Superstar,Real Free Soccer,https://apps.apple.com/us/app/soccer-superstar/id1550945606?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/6f/33/f3/6f33f30b-be06-13d9-8ac1-620fdf9094ce/AppIcon-1x_U007emarketing-0-8-0-85-220-0.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
7,6748397500,Arrows – Puzzle Escape,Lessmore GmbH,https://apps.apple.com/us/app/arrows-puzzle-escape/id6748397500?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/8d/12/50/8d12503f-10ab-e482-7ec1-5088c4af8cd8/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
8,6759763476,Bus Traffic Fever!,"GOODROID,Inc.",https://apps.apple.com/us/app/bus-traffic-fever/id6759763476?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/b0/85/8c/b0858cef-e647-671a-19e6-c0d17dd02d45/AppIcon-1x_U007emarketing-0-8-0-85-220-0.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
9,431946152,Roblox,Roblox Corporation,https://apps.apple.com/us/app/roblox/id431946152?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/ae/d6/57/aed65717-e85f-212b-21e0-f57112aa8c02/AppIcon-0-0-1x_U007epad-0-1-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
10,1617391485,Block Blast！,Hungry Studio,https://apps.apple.com/us/app/block-blast/id1617391485?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/3a/c3/b3/3ac3b3bb-a768-8bc1-b1b2-fcc291a55b43/AppIcon-0-0-1x_U007emarketing-0-11-0-sRGB-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
11,6780195090,82-0.com,Vaulty Studios Inc.,https://apps.apple.com/us/app/82-0-com/id6780195090?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/c6/86/77/c686776e-de67-db1c-e029-dbc9f0491a43/AppIcon-0-0-1x_U007epad-0-1-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
12,1274132545,Total Battle: War Strategy,Scorewarrior,https://apps.apple.com/us/app/total-battle-war-strategy/id1274132545?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/b8/90/17/b8901731-ae0f-52d4-f461-da14d23cd7e5/crowd_multipliers_v6-0-0-1x_U007emarketing-0-5-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
13,6758326278,Amaze GO!,Oakever Games,https://apps.apple.com/us/app/amaze-go/id6758326278?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/69/a2/57/69a25772-6707-b207-50a6-dbe244ea8442/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
14,6483539426,Fortnite,Epic Games Inc.,https://apps.apple.com/us/app/fortnite/id6483539426?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/50/41/14/5041140b-3d2b-f766-61c0-72c359df6be3/AppIcon-0-0-1x_U007epad-0-1-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
15,6475757306,Disney Solitaire,SuperPlay,https://apps.apple.com/us/app/disney-solitaire/id6475757306?uo=2,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/86/76/5f/86765fea-b7f7-dcd0-6446-0dd01ca74367/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/100x100bb.png,2026-06-30,us,topfree,6014,游戏
